SK_ID_CURR,CODE_GENDER,AMT_ANNUITY,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,REGION_RATING_CLIENT_W_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_MODE,LIVINGAREA_MODE,TOTALAREA_MODE,DEF_30_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,CREDIT_TO_ANNUITY_RATIO,CREDIT_TO_GOODS_RATIO,ANNUITY_TO_INCOME_RATIO,INCOME_TO_BIRTH_RATIO,NAME_EDUCATION_TYPE_Highereducation,NAME_FAMILY_STATUS_Married,BURO_DAYS_CREDIT_MAX,BURO_DAYS_CREDIT_ENDDATE_MEAN,BURO_AMT_CREDIT_SUM_MAX,BURO_AMT_CREDIT_SUM_DEBT_MEAN,BURO_CREDIT_ACTIVE_Active_MEAN,BURO_CREDIT_TYPE_Microloan_MEAN,BURO_CREDIT_TYPE_Mortgage_MEAN,BURO_STATUS_0_MEAN_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,ACTIVE_AMT_CREDIT_SUM_MEAN,ACTIVE_AMT_CREDIT_SUM_SUM,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,ACTIVE_MONTHS_BALANCE_SIZE_MEAN,CLOSED_DAYS_CREDIT_MAX,CLOSED_DAYS_CREDIT_VAR,CLOSED_DAYS_CREDIT_ENDDATE_MAX,CLOSED_DAYS_CREDIT_UPDATE_MEAN,CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,CLOSED_AMT_CREDIT_SUM_MEAN,CLOSED_AMT_CREDIT_SUM_SUM,PREV_AMT_ANNUITY_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_AMT_GOODS_PRICE_MIN,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MAX,PREV_CNT_PAYMENT_SUM,PREV_NAME_YIELD_GROUP_low_action_MEAN,APPROVED_AMT_ANNUITY_MAX,APPROVED_APP_CREDIT_PERC_MIN,APPROVED_APP_CREDIT_PERC_MAX,APPROVED_AMT_DOWN_PAYMENT_MAX,APPROVED_AMT_GOODS_PRICE_MAX,APPROVED_DAYS_DECISION_MAX,APPROVED_CNT_PAYMENT_MEAN,REFUSED_AMT_CREDIT_MIN,REFUSED_APP_CREDIT_PERC_MIN,REFUSED_DAYS_DECISION_MAX,POS_MONTHS_BALANCE_MEAN,POS_SK_DPD_DEF_MEAN,POS_COUNT,INSTAL_DPD_MEAN,INSTAL_DBD_MEAN,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_MEAN,INSTAL_PAYMENT_PERC_SUM,INSTAL_PAYMENT_DIFF_MAX,INSTAL_PAYMENT_DIFF_MEAN,INSTAL_PAYMENT_DIFF_SUM,INSTAL_AMT_INSTALMENT_MAX,INSTAL_AMT_INSTALMENT_MEAN,INSTAL_AMT_INSTALMENT_SUM,INSTAL_AMT_PAYMENT_MIN,INSTAL_DAYS_ENTRY_PAYMENT_MAX,INSTAL_DAYS_ENTRY_PAYMENT_SUM,CC_AMT_BALANCE_MEAN,CC_AMT_PAYMENT_CURRENT_SUM,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,CC_CNT_DRAWINGS_CURRENT_VAR,PROBA,PREDICTION
279260,1,14206.5,0.031328999,-15929,-450.0,-747.0,-4140,,2,0.787862122,0.167136759,0.340906441,0.971199989,0.0124,0.0106,0.0,-2418.0,36.03421021,1.264000058,0.15033333,-5.932575703,0,1,-592.0,-739.333313,702000.0,109682.343,0.454545468,0.0,0.0,,-592.0,-392.0,503.0,-307.3999939,5192.685059,268645.5,1343227.5,8305.785,,-880.0,555032.6875,946.0,-821.166687,5500.169922,203959.5,1223757.0,3375.0,0.93811661,23535.0,20.0,-2418.0,-374.0,170.0,0.0,16204.81543,0.0,0.93811661,0.0,225000.0,-508.0,15.5,628771.5,0.715681314,-374.0,-34.92592621,0.0,27.0,0.055900622,4.838509083,779.0,0.987577617,159.0,6615.0,61.30285714,9869.76,225392.5781,8912.53418,1434917.875,0.855000019,-24.0,-174785.0,63559.52344,763660.1875,0.535211265,1.295774698,5.211267471,0.8217670084252073,1
454983,0,12316.5,0.019100999,-22547,,-2019.0,-4073,4.0,2,,0.629582822,0.726711214,,,,0.0,0.0,30.97698212,1.211199999,0.182466671,-2.993746281,0,1,-295.0,-989.75,900000.0,19398.375,0.25,0.0,0.0,0.081081077,-295.0,801.0,801.0,-35.0,,94860.0,94860.0,0.0,10.0,-2247.0,140137.0,-421.0,-1489.0,0.0,370111.5,1110334.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09694432125433584,0
104070,0,18085.5,0.010643,-20170,-938.0,-9614.0,-3312,,2,,0.611299038,,,,,0.0,-449.0,16.42921066,1.158403516,0.114828572,-7.808626652,0,1,,,,,,,,,,,,,,,,,,,,,,,,,17562.91406,1.052631617,89910.0,12.0,-449.0,-449.0,6.0,0.0,17562.91406,1.052631617,1.052631617,4495.5,89910.0,-449.0,6.0,,,,-11.0,0.0,7.0,0.0,17.33333397,104.0,1.0,6.0,0.0,0.0,0.0,17562.91406,17562.39844,105374.3828,17559.81055,-284.0,-2144.0,,,,,,0.5567974843264821,1
398789,1,20470.5,0.002134,-22902,-7165.0,-4142.0,-3403,9.0,3,,0.483765453,,,,,1.0,-626.0,26.35941887,1.211202025,0.151633337,-5.894681454,0,1,,,,,,,,,,,,,,,,,,,,,,,,,44987.94141,1.111111164,222750.0,14.0,-626.0,-374.0,32.0,0.0,82036.21875,0.935770988,1.111111164,34155.0,720000.0,-374.0,10.66666698,,,,-11.14285755,0.0,21.0,0.0,14.5882349,248.0,1.0,17.0,0.0,0.0,0.0,205756.2031,63160.16406,1073722.875,44987.94141,-33.0,-5029.0,,,,,,0.09056268917877053,0
110075,1,11250.0,0.028663,-8678,-199.0,-8647.0,-1315,,2,0.207166284,0.394200236,0.533481658,0.971199989,0.0089,0.0103,0.0,-153.0,20.0,1.0,0.15625,-8.296842575,1,0,-64.0,-173.5,135000.0,132214.5,0.5,0.0,0.0,,-64.0,45.0,45.0,-26.0,,135000.0,135000.0,0.0,,-700.0,,-392.0,-384.0,12213.0,109255.5,109255.5,18999.49414,1.0,72225.0,16.0,-153.0,-153.0,4.0,0.0,18999.49414,1.0,1.0,0.0,72225.0,-153.0,4.0,,,,-3.5,0.0,4.0,0.0,2.5,10.0,1.0,4.0,0.0,0.0,0.0,18999.49414,18998.80859,75995.23438,18996.75,-36.0,-314.0,,,,,,0.2536917009165268,0
444468,1,27270.0,0.00963,-22157,,-2198.0,-4285,,2,0.82746917,0.232235029,,,,,0.0,-362.0,34.20032883,1.197999954,0.224444449,-5.483594418,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1891.800049,1.0,39537.0,15.0,-701.0,-362.0,72.0,0.5,2157.389893,0.82559669,1.0,0.0,45000.0,-362.0,36.0,,,,-10.11428547,0.0,35.0,0.213235289,10.73529434,1460.0,0.985294104,134.0,6750.0,107.5367647,14625.0,175500.0,2860.916016,389084.5938,24.20999908,-5.0,-166191.0,25268.11133,309621.5,0.3125,0.3125,2.364473581,0.2774400096779411,0
395056,1,37669.5,0.025164001,-16024,-3988.0,-10119.0,-1676,,2,0.630458176,0.238778174,0.675413311,0.976199985,0.065899998,0.065499999,0.0,-2189.0,34.20140839,1.145200014,0.261593759,-8.986519814,0,1,-853.0,275.3333435,1588612.5,453200.64,1.0,0.0,0.0,,-853.0,-882.0,1703.0,-470.0,5559.794922,652537.5,1957612.5,1344.48,,,,,,,,,6788.609863,1.021220803,57820.5,16.0,-2189.0,-929.0,66.0,0.0,18222.11914,0.766361833,1.021220803,6300.0,270000.0,-929.0,16.5,,,,-54.34615326,0.0,26.0,0.0,10.78260899,248.0,1.0,23.0,0.0,0.0,0.0,289494.75,30790.22461,708175.1875,6788.609863,-852.0,-38358.0,,,,,,0.7497413767877336,1
132458,1,7011.0,0.030755,-11793,-1965.0,-6158.0,-4445,,2,,0.685185552,0.739411771,,,,0.0,-806.0,19.22336388,1.197999954,0.129833341,-4.578987598,0,1,-140.0,-723.5,157500.0,12476.25,0.375,0.0,0.0,0.709722221,-140.0,41.0,184.0,-25.33333397,0.0,95400.0,286200.0,0.0,5.0,-462.0,720991.5,-158.0,-1229.0,0.0,37565.10156,187825.5,7063.740234,1.0,156798.0,12.0,-806.0,-806.0,24.0,1.0,7063.740234,1.0,1.0,0.0,156798.0,-806.0,24.0,,,,-14.0,0.0,25.0,0.0,9.25,222.0,1.0,24.0,0.0,0.0,0.0,7063.740234,7062.611328,169502.6719,7036.649902,-82.0,-10374.0,,,,,,0.03609588441227336,0
295983,0,17122.5,0.018850001,-14858,-427.0,-2382.0,-4694,,2,0.434513539,0.738695383,0.318595529,0.976700008,0.067699999,0.065899998,0.0,-281.0,22.52877808,1.158405423,0.152199998,-7.571678638,0,1,-19.0,-1106.333374,324000.0,60271.07786,0.428571433,0.0,0.0,0.212336391,-19.0,163.0,206.0,-18.66666603,516.4949951,164181.0156,492543.0313,10007.28,8.666666985,-789.0,723210.9375,-424.0,-744.25,0.0,119342.25,477369.0,3238.02002,0.825622797,22189.5,12.0,-2233.0,-223.0,58.0,0.125,16875.0,0.0,0.923754215,0.0,156411.0,-223.0,14.5,,,,-25.01851845,0.018518519,54.0,0.061538462,11.73846149,763.0,1.0,65.0,0.0,0.0,0.0,17998.83008,8641.725586,561712.125,1.169999957,-31.0,-41070.0,342323.5313,89100.0,1.428571463,1.428571463,4.619047642,0.307874811609561,0
108202,1,15943.5,0.020713,-22416,,-210.0,-4109,,3,,0.278298736,0.665854931,0.973200023,0.0069,0.0052,1.0,-1630.0,23.41461945,1.31679368,0.161045462,-4.416488171,0,1,-482.0,-469.7999878,450004.5,120592.665,0.5,0.0,0.0,,-482.0,-1443.0,1344.0,-364.0,0.0,257206.3125,1286031.5,0.0,,-1219.0,52737.30078,-672.0,-1196.599976,0.0,118698.6719,593493.375,1845.675049,1.0,22005.0,12.0,-1630.0,-91.0,166.0,0.125,35873.95313,0.0,1.088879824,4500.0,967500.0,-570.0,27.66666603,,,,-33.07575607,0.0,66.0,0.015748031,6.401574612,813.0,0.992125988,126.0,5625.0,49.89366142,6336.495,1030972.938,23968.63672,3044017.0,0.135000005,-6.0,-99295.0,72625.27344,686616.4375,0.400000006,0.405405402,0.636636615,0.16245225566882976,0
428736,0,20128.5,0.025164001,-10615,-3017.0,-5235.0,-75,,2,0.411226004,0.361500889,0.633031666,0.986100018,0.080600001,0.075499997,1.0,-819.0,15.64945221,1.0,0.08946,-21.19642067,1,1,-563.0,3495.199951,963000.0,0.0,0.571428597,0.0,0.0,0.31650877,-563.0,1263.0,8736.0,-200.5,16683.75,499500.0,1998000.0,,31.5,-1473.0,489037.0,354.0,-843.0,0.0,556500.0,1669500.0,14582.47461,1.430621982,134550.0,17.0,-819.0,-819.0,8.0,0.0,14582.47461,1.430621982,1.430621982,40500.0,134550.0,-819.0,8.0,134550.0,1.0,-819.0,-25.0,0.0,5.0,0.0,14.83333302,89.0,1.692342401,10.15405464,0.0,-9750.0,-58500.0,38962.07813,17673.55469,106041.3281,8579.25,-707.0,-4589.0,,,,,,0.1264532555159204,0
136876,0,17712.0,0.007114,-12450,-2339.0,-3099.0,-2388,,2,0.333123028,0.639647543,0.12064103,0.988600016,0.0196,0.016000001,0.0,-813.0,30.77235794,1.211199999,0.098399997,-14.45783138,0,1,-100.0,1070.0,270000.0,230197.5,1.0,0.0,0.0,,-100.0,1070.0,1070.0,-25.0,,270000.0,270000.0,0.0,,,,,,,,,20320.60547,0.666053891,71001.0,19.0,-813.0,-313.0,180.0,0.0,22980.01563,0.0,0.666053891,,225000.0,-518.0,18.0,71001.0,0.700797021,-570.0,-14.5,0.0,24.0,0.086206898,4.224137783,245.0,1.153534412,66.90499878,0.0,-3879.361552,-225002.97,202022.9531,17853.56836,1035507.0,1.440000057,-30.0,-20238.0,51966.04688,503410.9375,0.647058845,2.588235378,12.88235283,0.6255081150856442,1
405357,1,30109.5,0.010032,-10130,-657.0,-2562.0,-2582,5.0,2,,0.234688699,0.323311239,0.989600003,0.033100002,0.0352,0.0,-2.0,34.74458313,1.145201921,0.083637498,-35.53800583,0,1,-86.0,731.222229,2418223.5,222945.75,0.300000012,0.0,0.0,,-86.0,963.0,1740.0,-10.66666698,,978574.5,2935723.5,,,-341.0,105638.4766,2823.0,-186.5714264,0.0,379661.7813,2657632.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5816316201999994,1
371705,1,18549.0,0.028663,-23677,,-3133.0,-4574,,2,,0.637866378,0.689479172,,,,0.0,-1887.0,33.96409607,1.0,0.14213793,-5.511678219,0,0,-313.0,433.0,360000.0,73195.875,0.5,0.0,0.0,,-466.0,507.0,1360.0,-30.0,,315000.0,630000.0,0.0,,-313.0,240124.5,90.0,-336.0,,124537.5,249075.0,2707.245117,,27076.5,13.0,-2601.0,-75.0,130.0,0.0,23153.98438,0.87827158,1.111172676,6075.0,450000.0,-536.0,19.66666603,83250.0,1.0,-2436.0,-38.55882263,0.0,68.0,0.073529415,7.852941036,534.0,0.970588207,66.0,23100.25586,380.3122059,25861.23,23153.98438,14139.76367,961503.9375,20.96999931,-36.0,-72844.0,,,,,,0.09708925932095305,0
266147,1,21460.5,0.009175,-13960,-342.0,-1600.0,-4110,,2,0.457165718,0.637674391,0.669056714,0.994000018,0.128000006,0.110799998,0.0,-205.0,37.6808548,1.197999954,0.07948333,-19.34097481,0,1,-357.0,954.5,1080000.0,0.0,0.166666672,0.0,0.0,,-357.0,10600.0,10600.0,-25.0,0.0,450000.0,450000.0,,,-683.0,732070.6875,412.0,-1246.400024,0.0,368448.3125,1842241.5,12526.2002,,67500.0,19.0,-1716.0,-77.0,180.0,0.0,47621.07031,0.872638404,1.0,0.0,360000.0,-492.0,13.5,225000.0,0.825627506,-78.0,-28.17948723,0.0,39.0,0.0,20.44736862,777.0,1.236050963,46.96993637,0.0,-2730.338289,-103752.855,165464.6875,27466.78711,1043737.875,12526.2002,-15.0,-30833.0,,,,,,0.0770335051504949,0
178035,0,12244.5,0.026392,-10582,-1474.0,-4528.0,-2919,20.0,2,,0.589583516,0.332850575,0.99059999,0.033300001,0.0251,0.0,-1576.0,9.1877985,1.0,0.090700001,-12.75751305,0,1,-322.0,3694.692383,92670.75,1184.859643,0.285714298,0.0,0.0,,-322.0,-202.0,31011.0,-345.75,0.0,50259.375,201037.5,0.0,,-350.0,414938.9375,-168.0,-960.0,5107.473145,39731.71094,397317.0938,4675.410156,1.063849211,21100.5,19.0,-2865.0,-805.0,36.0,0.0,6872.535156,0.877800107,0.909897625,0.0,53077.5,-1576.0,12.0,21100.5,1.0,-805.0,-56.79999924,0.0,25.0,2.09375,8.28125,265.0,0.75,24.0,4625.819824,1165.706719,37302.615,6881.174805,5493.310547,175785.9375,49.59000015,-1216.0,-57588.0,,,,,,0.22133203917444863,0
136177,1,42291.0,0.018801,-13890,-1168.0,-5356.0,-4061,15.0,2,0.427784264,0.596733868,0.304672182,0.959299982,0.034699999,0.0262,0.0,-174.0,30.16652489,1.116161466,0.134257138,-22.67818642,0,1,-67.0,399.6000061,1849770.0,306152.25,0.5,0.0,0.0,,-67.0,114.0,1652.0,-32.66666794,0.0,733263.625,2199791.0,0.0,,-414.0,87457.0,-54.0,-396.3333435,0.0,139504.5,418513.5,9000.0,0.844024301,450000.0,10.0,-2633.0,-792.0,48.0,0.0,24146.82031,0.0,0.844024301,,450000.0,-792.0,24.0,,,,-15.5,0.0,22.0,0.07692308,1.726495743,202.0,0.991452992,116.0,16871.40039,206.3830769,24146.82,428494.2188,11016.04883,1288877.75,373.6799927,-11.0,-144195.0,4639.042969,351839.3438,0.139534891,0.137931034,0.841218948,0.7894323398901153,1
238516,0,36643.5,0.014464,-16391,-104.0,-2037.0,-634,,2,,0.278549165,,0.980599999,0.1611,0.142299995,0.0,0.0,25.71533775,1.396000028,0.226194441,-9.883472443,0,1,,,,,,,,,,,,,,,,,,,,,,,,,15961.67969,0.909908235,130257.0,7.0,-1826.0,-1826.0,12.0,0.0,15961.67969,0.909908235,0.909908235,0.0,130257.0,-1826.0,12.0,,,,-54.0,0.0,13.0,0.0,6.583333492,79.0,1.0,12.0,0.0,0.0,0.0,15982.69531,15963.43164,191561.1719,15961.67969,-1465.0,-19639.0,,,,,,0.781014353855068,1
131653,1,42642.0,0.015221,-21649,,-736.0,-3434,20.0,2,,0.421085507,0.766233683,,,,0.0,-681.0,36.25580597,1.145200014,0.526444435,-3.741512299,0,1,-1426.0,-612.333313,180000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,-1426.0,432567.0,400.0,-761.0,0.0,133830.0,401490.0,3347.01001,0.933838725,67072.5,14.0,-2631.0,-545.0,138.0,0.200000003,42552.85547,0.0,0.933838725,7119.0,1354500.0,-545.0,27.60000038,,,,-47.12244797,0.0,49.0,0.0,16.67676735,1651.0,0.98989898,98.0,8955.0,90.90909091,9000.0,1339499.625,35477.57422,3512279.75,45.0,-140.0,-154877.0,80651.14063,521867.1563,0.215189874,0.215189874,0.478740662,0.132725698617896,0
120303,1,60147.0,0.072508,-23422,,-9093.0,-4293,,1,0.87962687,0.703731954,,0.987100005,0.103200004,0.526799977,0.0,-202.0,14.96333981,1.0,0.267320007,-9.606352806,0,1,-2388.0,-2054.0,66247.42188,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,-2388.0,,-2054.0,-807.0,,66247.42188,66247.42188,31130.14453,1.519480467,263250.0,11.0,-202.0,-202.0,6.0,0.0,31130.14453,1.519480467,1.519480467,90000.0,263250.0,-202.0,6.0,,,,-5.0,0.0,5.0,0.0,9.5,38.0,1.0,4.0,0.0,0.0,0.0,91258.0625,46162.125,184648.5,31130.14453,-93.0,-546.0,,,,,,0.025878801444106533,0
385525,1,46611.0,0.010032,-21915,,-5772.0,-4516,,2,0.489704043,0.233113468,0.584990025,0.982599974,0.0603,0.075000003,0.0,-300.0,37.80459595,1.118800044,0.230177775,-9.240246773,1,1,-165.0,2079.25,1125000.0,59017.275,0.300000012,0.0,0.0,0.521979213,-165.0,-967.0,31065.0,-360.6666565,0.0,360041.25,2160247.5,0.0,21.83333397,-813.0,321335.9688,-164.0,-1134.5,722.0250244,167658.8906,2347224.5,4753.845215,1.111111164,17955.0,9.0,-2517.0,-300.0,24.0,0.0,18754.60547,1.036973834,1.076051831,17505.0,175050.0,-844.0,7.0,157545.0,1.111111164,-844.0,-42.30434799,0.0,23.0,0.0,10.9285717,153.0,1.0,14.0,0.0,0.0,0.0,18754.60547,14748.2168,206475.0313,4749.660156,-547.0,-16665.0,,,,,,0.2107377434637911,0
277483,0,34852.5,0.009334,-14571,-3529.0,-7582.0,-5146,,2,0.404816568,0.643584728,0.595456183,0.95630002,0.0094,0.0306,0.0,-2.0,14.9567461,1.158400059,0.154899999,-15.44163036,0,1,-1527.0,-1419.75,450000.0,38390.0625,0.125,0.0,0.0,,-1527.0,973.0,973.0,-103.0,,324000.0,324000.0,0.0,,-1528.0,310246.9375,-797.0,-1173.857178,,125920.2891,881442.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08434177887378243,0
240047,0,13500.0,0.035792001,-12579,-351.0,-4028.0,-4290,9.0,2,0.215647817,0.700539708,0.801600873,0.985099971,0.156800002,0.119400002,0.0,0.0,20.0,1.0,0.059999999,-17.88695526,1,1,-355.0,-657.5,157420.3438,0.0,0.0,0.0,0.0,,,,,,,,,,,-355.0,630564.5,-171.0,-670.5,8505.0,130914.4531,261828.9063,8429.30957,0.904468536,83250.0,18.0,-232.0,-232.0,12.0,1.0,8429.30957,0.904468536,0.904468536,0.0,83250.0,-232.0,12.0,,,,-5.0,0.0,7.0,0.0,14.85714245,104.0,1.0,7.0,0.0,0.0,0.0,8429.30957,8429.30957,59005.17188,8429.30957,-61.0,-881.0,,,,,,0.05548516156494716,0
389703,1,21969.0,0.018850001,-11981,-5120.0,-6572.0,-1197,,2,0.577751219,0.694560766,,0.990100026,0.049699999,0.048799999,2.0,0.0,23.6042614,1.11879611,0.195280001,-9.389866829,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4965.345215,2.377319574,36855.0,16.0,-628.0,-76.0,16.0,0.0,5246.640137,0.816468954,2.377319574,40500.0,67450.5,-319.0,8.0,,,,-11.8125,0.0,16.0,0.125,14.0,224.0,0.9375,15.0,3970.800049,310.3340625,4965.345,9841.724609,5375.101074,86001.61719,994.5449829,-76.0,-4938.0,,,,,,0.12854955458545986,0
